name,category,phone_public,phone_raw_public_source,phone_status,email_public,website,website_verified,whatsapp_public,whatsapp_status,contact_consent,current_1405_exhibitor_status,source_period,source_url,recommended_next_step
آذر ماشین,ماشین‌آلات,02166475167,21 66475167,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آذرصنعت نورلو پلاست,صنایع وابسته در و پنجره — نیازمند بررسی,04133106027,41 33106027,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آذین در,صنایع وابسته در و پنجره — نیازمند بررسی,02155534349,21 55534349,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آراز پروفیل,پروفیل,02155064343,21 55064343,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آرتا پروفیل پیشرو صنعت جهان,پروفیل,04533870007,45 33870007,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آرتين آلومين,آلومینیوم,01341327460,13 41327460,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آرسس در مانا,صنایع وابسته در و پنجره — نیازمند بررسی,02188081036,21 88081036,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آرنادُر,صنایع وابسته در و پنجره — نیازمند بررسی,02156393790,21 56393790,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آرکادور,صنایع وابسته در و پنجره — نیازمند بررسی,05632231602,56 32231602,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آریا آلومینیوم,آلومینیوم,02176266701,21 76266701,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آریا جام مهرگان پارس,شیشه,02188319812,21 88319812,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آریا سایان گستر,صنایع وابسته در و پنجره — نیازمند بررسی,02176214808,21 76214808,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آریا پروفیل ارس,پروفیل,04432723342,44 32723342,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آسیا جام پروفیل,پروفیل,04132466361,41 32466361-64,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آشیان دُر اروند,صنایع وابسته در و پنجره — نیازمند بررسی,06153543762,61 53543762,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آشیانه پایدار قرن,صنایع وابسته در و پنجره — نیازمند بررسی,02156390015,21 56390015,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آفتاب کالای سبلان,صنایع وابسته در و پنجره — نیازمند بررسی,02188628201,21 88628201,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آق پروفیل گلستان,پروفیل,01732539061,17 32539061,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آلفادر,صنایع وابسته در و پنجره — نیازمند بررسی,02156653330,21 56653330-2,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آلوم جام,آلومینیوم,02126410133,21 26410133-5,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آلوم کار دینه ( آلوکد ),آلومینیوم,02188647602,21 88647602,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آلومینیوم پژواک سپاهان,آلومینیوم,03152374242,31 52374242,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آلومینیوم کوثر زنجان با برند تجاری exalco,آلومینیوم,02432221263,24 32221263,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آنا درب سلماس,درب,04435257001,443 5257001,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آهن و فولاد جهان سپاهان,صنایع وابسته در و پنجره — نیازمند بررسی,04134402000,41 34402000,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
آیسان درب,درب,02122320801,21 22320801,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ابزار سازی زمانی,یراق‌آلات و ابزار,03145647140,31 45647140,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ادسکو,صنایع وابسته در و پنجره — نیازمند بررسی,02156906020,21 56906020,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
اساس سازان بنیان گردمان,صنایع وابسته در و پنجره — نیازمند بررسی,02188650212,21 88650212-213,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
استادکار,صنایع وابسته در و پنجره — نیازمند بررسی,02177607628,21 77607628 – 77607704,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
استیل ملل ویرا,صنایع وابسته در و پنجره — نیازمند بررسی,02155252903,21 55252903-4,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
اطلس تجارت فراز پيشرو,صنایع وابسته در و پنجره — نیازمند بررسی,02177927578,21 77927578,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
اطلس درب مرادی,درب,04132860561,413 2860561,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
الدورا چلیک درب,درب,02126142090,21 26142090,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
امرتات,صنایع وابسته در و پنجره — نیازمند بررسی,02188567533,21 88567533,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
انجمن صنفی کارفرمایی تولیدکنندگان درو پنجره ایران,پنجره و UPVC/PVC,02122674113,21 22674113,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
اورمان صنعت آذربایجان,صنایع وابسته در و پنجره — نیازمند بررسی,04433744742,44 33744742,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ایده,صنایع وابسته در و پنجره — نیازمند بررسی,02155667766,21 55667766,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ایده سازان تجارت اروند,صنایع وابسته در و پنجره — نیازمند بررسی,02166727964,21 66727964,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ایده پردازان پارس سدید پویش,صنایع وابسته در و پنجره — نیازمند بررسی,02533346349,25 33346349,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ایران آذر آلومینیوم,آلومینیوم,02166404940,21 66404940,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ایران تک نما,صنایع وابسته در و پنجره — نیازمند بررسی,02166882198,21 66882198,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ایران پلاستیک,مواد اولیه و پلیمر,02166802434,21 66802434 66809922,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ایستا درب آیسان مهر,درب,08634654713,86 34654713,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ایلیاد کار وشمگیر,صنایع وابسته در و پنجره — نیازمند بررسی,01735888000,17 35888000,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ایمن درب سروش صنعت,درب,02144978961,21 44978961,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
ایمن دُر سازه پارت,صنایع وابسته در و پنجره — نیازمند بررسی,02144011723,21 44011723,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
باتیس سازان گیتی,صنایع وابسته در و پنجره — نیازمند بررسی,02156456830,21 56456830,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
باراد آلومینیوم,آلومینیوم,02156823115,21 56823115,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
بازرگانی آلان,صنایع وابسته در و پنجره — نیازمند بررسی,02166319736,21 66319736,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
بازرگانی شیشه رنجبر جویباری,شیشه,01142543676,11 42543676,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
بام تک,صنایع وابسته در و پنجره — نیازمند بررسی,02122392985,21 22392985,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
بانیان صنعت,صنایع وابسته در و پنجره — نیازمند بررسی,02146896118,21 46896118,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
برناگستر پارسی,صنایع وابسته در و پنجره — نیازمند بررسی,02122518404,21 22518404,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
برین یراق,یراق‌آلات و ابزار,02166153138,21 66153138-66153258,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
بن ساز شارستان,صنایع وابسته در و پنجره — نیازمند بررسی,02146045869,21 46045869,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
بهین سامان هوشمند نگار,صنایع وابسته در و پنجره — نیازمند بررسی,02166123466,21 66123466,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
بهینه گستر فراتاب,صنایع وابسته در و پنجره — نیازمند بررسی,02634252286,26 34252286,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
بین المللی اوریناگ رویش صنعت,صنایع وابسته در و پنجره — نیازمند بررسی,05832241551,58 32241551,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
تاراز پلیمر ایرانیان,مواد اولیه و پلیمر,03132242846,31 32242846-9,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
تاپ وین,پنجره و UPVC/PVC,02634704164,26 34704164,public-landline-format,,,false,,not-found; do-not-assume landline is WhatsApp,false,NOT CONFIRMED — historical/related industry candidate only,archived participant lists shown on source page; row year not reliably exposed,https://www.namayeshgahha.ir/نمایشگاه-در-و-پنجره/list-of-exhibitors-at-the-door-and-window/,"verify current participation, official website ownership and public business contact before outreach"
